Unnamed: 0.1,Unnamed: 0,duration (ms),danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spec_rate,labels,uri,track_name,artist_name,mbid,average_loudness,dynamic_complexity,chords_changes_rate,chords_histogram_mean,chords_histogram_stdev,chords_number_rate,key_strength,thpcp_mean,thpcp_stdev,tuning_diatonic_strength,tuning_equal_tempered_deviation,tuning_frequency,tuning_nontempered_energy_ratio,beats_count,beats_position_mean,beats_position_stdev,bpm,onset_rate,bpm_histogram_mean,bpm_histogram_stdev,bpm_histogram_first_peak_bpm,bpm_histogram_first_peak_weight,bpm_histogram_second_peak_bpm,bpm_histogram_second_peak_spread,bpm_histogram_second_peak_weight,genre_cluster
175826,175826,152360.0,1.18403375149,0.912,-6.039,0.0828,0.501,6.71e-05,0.103,0.582,88.066,5.434497243370964e-07,1,spotify:track:6kqD04fjGFcglhL3Eo9bVW,Red Hot,Brian Setzer,b5788990-3e7a-43eb-b7ec-5f794ef8a23f,0.958308041096,3.21493053436,0.123072363436,4.166666657273837,5.024736259679818,0.00474495859817,0.560763537884,0.5963889749513055,0.1554305027522092,0.455256849527,0.242021694779,434.193115234,0.876429080963,450.0,77.15645058942842,44.4239331633935,178.205703735,3.57742166519,,,,,,,,unknown
247954,247954,300600.0,0.756,0.47,-12.615,0.0394,0.196,0.000487,0.126,0.43,120.484,1.310711909514305e-07,0,spotify:track:000u1dTg7y1XCDXi80hbBX,I Don't Want A Lover,Texas,b4a1d763-cd92-4137-ad82-32b3a1d6c01c,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
271862,271862,192470.0,0.501,0.0725,-15.349,0.0493,0.995,7.3e-06,0.112,0.344,99.997,2.561438146204603e-07,0,spotify:track:7I9g4SVeZPd93zZsJ1oQYM,The Right Kind Of Man,Ruth Etting,1d548113-7b36-4522-a661-5d0b6dc9bb6e,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
74263,74263,421200.0,0.696,0.602,-10.935,0.0444,0.0226,0.747,0.0967,0.0945,100.005,1.0541310541310542e-07,0,spotify:track:2buXvT3uROteJCYRYNHoKQ,We Tripantu,CHOMBA,25cb9727-d54c-44b2-89dc-8c01e57507f3,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
257806,257806,240000.0,0.658,0.863,-3.546,0.0781,0.0179,0.00122,0.0872,0.228,128.05,3.254166666666667e-07,1,spotify:track:1xOaBGVYwPxwgANeC8XhWg,Take Me,Will Sparks,4feb2b95-e52b-43ef-8c32-c48b77b4845a,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
159721,159721,184099.0,0.627,0.495,-10.323,0.318,0.136,0.0,0.115,0.273,96.915,1.7273314901221623e-06,1,spotify:track:5daABlqVf2c8ADuCUt9uvP,Series,Quada,5e8bcb84-f066-4163-8102-194e8fff93ab,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
123540,123540,323600.0,0.352,0.0351,-22.254,0.0347,0.975,0.607,0.193,0.21,56.16,1.0723114956736713e-07,3,spotify:track:6QqXTZUL8O3y46rgDEWnsm,Stardust,Bobby Hutcherson,9bd0e18f-6c19-42d1-a9aa-96bc2b2fe677,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
20084,20084,255073.0,0.839409708977,0.328,-15.527,0.0361,0.934,0.665,0.0655,0.0534,90.091,1.4152811156022002e-07,0,spotify:track:7k6GssAanC1PhqQD4lxlne,First Shipment,Piotr Musiał,a7c54975-a1c3-4116-b9b5-039c0520fad9,0.0327791981399,5.44717550278,0.0414922647178,4.166666635005666,6.2295517951443,0.0018198362086,0.743784785271,0.3501020449524694,0.2630367785241814,0.557251811028,0.233128041029,434.193115234,0.967132627964,442.0,139.45476372061802,76.98689696993296,89.7093200684,0.442912757397,,,,,,,,unknown
73816,73816,245107.0,0.822,0.673,-6.141,0.228,0.144,0.0,0.323,0.85,120.02,9.302059916689446e-07,1,spotify:track:7x6SuiiH3fcrsAgfkp2OwQ,Sugar (Gimme Some) [feat. Cee-Lo & Ludacris],Trick Daddy,40b0b56f-f87b-46f1-98db-90745aaef7f2,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
104561,104561,208152.0,1.1022901535,0.748,-5.731,0.145,0.0159,2.84e-05,0.12,0.243,128.008,6.966063261462777e-07,1,spotify:track:51DaW6U334rZ19HB0oduYe,Get Out My Way,Tedashii,bb7f2244-3089-424f-af56-e87c94022520,0.841839969158,2.17886686325,0.0579839423299,4.166666679704904,11.835524836515749,0.00223015155643,0.643095195293,0.2507189396354722,0.1825272045315616,0.463306427002,0.184269443154,434.193115234,0.79601329565,446.0,103.72017754808932,59.47626139182157,128.006118774,4.342669487,,,,,,,,unknown
135448,135448,178880.0,0.416,0.107,-23.123,0.0742,0.776,0.824,0.102,0.884,165.566,4.148032200357782e-07,3,spotify:track:2beDtk7egZUICBOwyigWtp,Maple Leaf Rag,David Laibman,c349d64d-4d27-4a67-81e0-ac45cada458c,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
204477,204477,247685.0,0.928482711315,0.482,-9.922,0.0568,0.0568,0.591,0.0642,0.0378,125.179,2.2932353594283066e-07,3,spotify:track:4ZCxG8ZNlJoeAvAD6kdPuB,Desire - Slowed,Hucci,65f8f9dc-04de-4c89-b0f4-494542f39603,0.522837102413,3.35219573975,0.0459735132754,4.166666693210037,7.341654821894436,0.00121784140356,0.64121991396,0.1767953319682139,0.1917809094619603,0.51824337244,0.16044396162,434.193115234,0.780298948288,737.0,156.6982229254556,89.28015331078531,139.914581299,3.84269714355,,,,,,,,unknown
227980,227980,194162.0,1.10230457783,0.345,-6.629,0.0326,0.907,0.0,0.117,0.251,99.805,1.679010310977431e-07,0,spotify:track:2ViAxjf9aF2pgfpXYy0AwM,Just In Case - Acoustic,Catherine McGrath,40f3842a-8492-47b7-96ba-60b7a81958c3,0.946321427822,3.30659818649,0.0456483587623,4.1666667113719,13.400283784981154,0.00125407578889,0.747197806835,0.2759993874157611,0.2436358084801481,0.636112332344,0.198358014226,434.193115234,0.955006539822,329.0,94.42232043712136,54.08170414795468,104.984596252,4.19804239273,,,,,,,,unknown
67288,67288,149483.0,0.584,0.142,-15.152,0.0482,0.939,0.798,0.105,0.205,96.055,3.22444692707532e-07,3,spotify:track:7nzCeSlzWIsZh1B8pzFOhs,So This Is Love,Disney Peaceful Guitar,060d28c4-3d01-4d3c-ae36-e3df81dc2f04,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
50830,50830,173184.0,0.583,0.552,-9.552,0.029,0.59,0.0,0.449,0.627,134.961,1.674519586104952e-07,1,spotify:track:5NzonieLQTc1e7rVkC8TkX,Something You Didn't Count On,Jaelee Roberts,e9ea96da-00fd-47b4-a100-ee4adafec12a,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
212447,212447,146207.0,0.48,0.847,-4.878,0.309,0.933,0.912,0.423,0.632,95.818,2.1134419008665794e-06,3,spotify:track:3NnQicE7kEUMw7FTX2m4zt,Hannah Hoch Visits Orange Mound (feat. Jake Sherman),MonoNeon,ad9a1636-5bb2-4784-9e6b-7b0439c3ca49,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
266070,266070,217271.0,0.441,0.0697,-22.482,0.0645,0.985,0.875,0.102,0.189,74.663,2.968642846951503e-07,3,spotify:track:4mDX3KZKsXRCrXfLNEfO1c,Haru,Adrien de la Salle,af6e85e1-04be-47ff-9928-fafaafa521a4,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
266854,266854,238654.0,0.721,0.572,-2.563,0.0299,0.58,0.0,0.339,0.543,93.037,1.252859788648001e-07,1,spotify:track:5PzwXQyY8B64TH5G71da4R,Una Noche - Unplugged,Rauw Alejandro,2ae6d810-c785-4d66-9b09-7dcb9e3115a1,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
18504,18504,224707.0,1.23877871037,0.778,-6.85,0.0376,5.97e-05,0.0768,0.157,0.237,132.954,1.6732901066722446e-07,2,spotify:track:527iRS0wgkyqi1dd5uLbZ7,Time Slips Behind Us,Modern Color,645ae12f-5fe9-4984-bab4-8828df08389c,0.952126801014,2.92575573921,0.0630035102367,4.166666679317604,4.405766573084561,0.00309853325598,0.550898730755,0.2798561484863361,0.2043033322218808,0.542496800423,0.233236894011,434.193115234,0.882551848888,485.0,109.1918824830618,63.34463148489666,134.833084106,2.99418282509,,,,,,,,unknown
209258,209258,126871.0,1.08666956425,0.666,-6.534,0.156,0.0362,0.0,0.323,0.832,150.111,1.229595415816065e-06,1,spotify:track:6bo3wF9Gfmr7iFlIaGfo1g,Haus of Holbein,SIX,41720b16-0238-49a4-95b0-679e110f8d7a,0.962761819363,2.62049412727,0.0636848881841,4.166666657973,5.220537004155371,0.00294496584684,0.644021332264,0.5374533062179723,0.1751077021134786,0.642959296703,0.230402141809,434.193115234,0.919211149216,569.0,126.49318988965348,72.98207166757884,135.049728394,3.09613490105,,,,,,,,unknown
111213,111213,151824.0,0.659,0.637,-8.761,0.0259,0.0947,0.0,0.172,0.777,128.806,1.705922647275793e-07,1,spotify:track:5GHg4iAmlHvZr1Bnuyug6n,Great Lengths - Great Lengths Album Version,PFR,c26dead8-3c12-48a8-9204-2cac938c6c15,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
25953,25953,326800.0,1.02191007137,0.138,-13.442,0.0311,0.983,0.324,0.623,0.201,77.573,9.516523867809057e-08,0,spotify:track:3UqTeIhtHiYYZ1OtQGnXzy,Goin' to the River (Carry My Rocking Chair) (Set 2) [Live],Mississippi Fred McDowell,e5382f5b-6d16-40b6-a31c-4a85f7fd12b7,0.00545070739463,5.77478408813,0.0885160788894,4.166666595733404,9.84237574547099,0.000834182952531,0.724888145924,0.3472432014015278,0.2332091384951949,0.447494983673,0.140625014901,438.224517822,0.841568470001,761.0,269.2516779995937,141.08005459049366,100.098144531,3.14589381218,,,,,,,,unknown
151299,151299,322200.0,0.471,0.602,-14.915,0.0377,0.157,0.00222,0.0767,0.627,152.555,1.17008069522036e-07,0,spotify:track:10BDGkdjkvjd91XxZ4jiwz,The Voice - Full Version,The Moody Blues,d96fe012-1d13-465f-968a-bc9192039c03,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
171477,171477,232621.0,0.315,0.971,-3.132,0.217,0.00371,0.207,0.22,0.172,181.075,9.328478512258136e-07,2,spotify:track:2izSnazOLEjr2N8ioPj2tQ,Black Sheep,Crown The Empire,efa2e93c-db6c-4d30-a772-a791e3d72c89,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
79318,79318,206680.0,0.219,0.316,-10.63,0.0396,0.899,0.0,0.0893,0.149,75.598,1.9160054190052257e-07,0,spotify:track:1i1v3CxSUuasmE3ngxggec,君の名は,織井茂子,b7651efd-fa2e-4f50-a1ed-323b55c9cf5d,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
